category_id,category_name,product_id,total
3,Cruisers Bicycles,16,93598.44
3,Cruisers Bicycles,12,84148.47
3,Cruisers Bicycles,20,74998.75
3,Cruisers Bicycles,15,72608.63
3,Cruisers Bicycles,18,60166.0
3,Cruisers Bicycles,17,57057.0
3,Cruisers Bicycles,19,48941.0
3,Cruisers Bicycles,81,43999.6
3,Cruisers Bicycles,13,42388.43
3,Cruisers Bicycles,14,33478.76
3,Cruisers Bicycles,252,32999.89
3,Cruisers Bicycles,77,30399.62
3,Cruisers Bicycles,78,25271.61
3,Cruisers Bicycles,73,21749.71
3,Cruisers Bicycles,70,21119.68
3,Cruisers Bicycles,65,20819.4
3,Cruisers Bicycles,82,20459.69
3,Cruisers Bicycles,72,20459.67
3,Cruisers Bicycles,251,17999.94
3,Cruisers Bicycles,71,17096.59
3,Cruisers Bicycles,75,16199.73
3,Cruisers Bicycles,253,15599.94
3,Cruisers Bicycles,80,14477.81
3,Cruisers Bicycles,64,13229.73
3,Cruisers Bicycles,69,12092.71
3,Cruisers Bicycles,68,11699.74
3,Cruisers Bicycles,74,11439.74
3,Cruisers Bicycles,235,9899.89
3,Cruisers Bicycles,66,9035.64
3,Cruisers Bicycles,79,8462.79
3,Cruisers Bicycles,76,8099.73
3,Cruisers Bicycles,216,7199.92
3,Cruisers Bicycles,242,6299.91
3,Cruisers Bicycles,67,6274.75
3,Cruisers Bicycles,225,5759.94
3,Cruisers Bicycles,234,5399.94
3,Cruisers Bicycles,237,5099.94
3,Cruisers Bicycles,260,4799.94
3,Cruisers Bicycles,226,4759.93
3,Cruisers Bicycles,214,4499.95
3,Cruisers Bicycles,257,4499.95
3,Cruisers Bicycles,215,4499.94
3,Cruisers Bicycles,230,4299.9
3,Cruisers Bicycles,248,4199.93
3,Cruisers Bicycles,243,4079.94
3,Cruisers Bicycles,249,3749.95
3,Cruisers Bicycles,254,3749.95
3,Cruisers Bicycles,223,3709.93
3,Cruisers Bicycles,217,3639.96
3,Cruisers Bicycles,259,3599.97
3,Cruisers Bicycles,240,3599.96
3,Cruisers Bicycles,219,3199.95
3,Cruisers Bicycles,238,2999.96
3,Cruisers Bicycles,261,2699.97
3,Cruisers Bicycles,255,2699.97
3,Cruisers Bicycles,250,2599.99
3,Cruisers Bicycles,229,2579.94
3,Cruisers Bicycles,236,2249.97
3,Cruisers Bicycles,241,2249.97
3,Cruisers Bicycles,231,2119.96
3,Cruisers Bicycles,245,1979.97
3,Cruisers Bicycles,246,1919.97
3,Cruisers Bicycles,233,1919.97
3,Cruisers Bicycles,224,1919.96
3,Cruisers Bicycles,213,1889.93
3,Cruisers Bicycles,244,1679.97
3,Cruisers Bicycles,220,1619.94
3,Cruisers Bicycles,227,1279.96
3,Cruisers Bicycles,258,1259.9
3,Cruisers Bicycles,247,1199.98
3,Cruisers Bicycles,232,959.98
3,Cruisers Bicycles,228,959.97
3,Cruisers Bicycles,256,899.99
3,Cruisers Bicycles,239,749.99
3,Cruisers Bicycles,221,639.98
3,Cruisers Bicycles,212,559.99
3,Cruisers Bicycles,218,319.99
3,Cruisers Bicycles,222,269.99
