category_id,category_name,product_id,total
2,Comfort Bicycles,26,80398.66
2,Comfort Bicycles,24,74798.64
2,Comfort Bicycles,25,73998.52
2,Comfort Bicycles,103,21527.61
2,Comfort Bicycles,105,19757.63
2,Comfort Bicycles,102,19109.61
2,Comfort Bicycles,106,18899.58
2,Comfort Bicycles,109,14594.65
2,Comfort Bicycles,104,14459.7
2,Comfort Bicycles,108,14399.68
2,Comfort Bicycles,110,11774.75
2,Comfort Bicycles,111,11303.76
2,Comfort Bicycles,107,10424.75
2,Comfort Bicycles,300,6399.92
2,Comfort Bicycles,310,6299.93
2,Comfort Bicycles,304,6119.91
2,Comfort Bicycles,306,5399.94
2,Comfort Bicycles,303,5199.98
2,Comfort Bicycles,301,4499.95
2,Comfort Bicycles,308,4499.94
2,Comfort Bicycles,307,2249.97
2,Comfort Bicycles,311,2249.97
2,Comfort Bicycles,302,2249.95
2,Comfort Bicycles,313,1799.96
2,Comfort Bicycles,312,1399.98
2,Comfort Bicycles,314,1359.98
2,Comfort Bicycles,315,1119.98
2,Comfort Bicycles,309,899.99
2,Comfort Bicycles,305,749.99
2,Comfort Bicycles,299,559.99
