category_id,category_name,product_id,total
7,Road Bikes,56,236499.57
7,Road Bikes,58,194999.61
7,Road Bikes,51,188499.71
7,Road Bikes,50,179999.7
7,Road Bikes,49,129499.63
7,Road Bikes,55,105299.61
7,Road Bikes,54,76799.76
7,Road Bikes,59,67599.74
7,Road Bikes,48,62999.58
7,Road Bikes,155,59999.95
7,Road Bikes,57,45999.77
7,Road Bikes,153,34999.93
7,Road Bikes,52,30659.65
7,Road Bikes,149,29999.96
7,Road Bikes,169,25999.96
7,Road Bikes,171,25599.92
7,Road Bikes,160,22499.95
7,Road Bikes,172,22399.93
7,Road Bikes,184,20999.94
7,Road Bikes,156,19499.97
7,Road Bikes,148,16499.97
7,Road Bikes,53,16499.78
7,Road Bikes,159,16099.93
7,Road Bikes,173,15999.95
7,Road Bikes,150,13499.97
7,Road Bikes,147,12599.93
7,Road Bikes,145,12599.93
7,Road Bikes,182,12499.95
7,Road Bikes,162,11999.96
7,Road Bikes,177,10999.98
7,Road Bikes,181,10999.95
7,Road Bikes,151,10849.93
7,Road Bikes,163,10792.0
7,Road Bikes,146,9999.98
7,Road Bikes,165,9999.96
7,Road Bikes,175,9599.97
7,Road Bikes,152,7499.97
7,Road Bikes,180,7359.92
7,Road Bikes,157,6499.99
7,Road Bikes,164,6196.0
7,Road Bikes,168,6196.0
7,Road Bikes,161,5697.0
7,Road Bikes,158,4799.95
7,Road Bikes,144,4649.97
7,Road Bikes,166,3749.95
7,Road Bikes,174,3199.99
7,Road Bikes,176,3199.99
7,Road Bikes,178,2999.96
7,Road Bikes,179,2759.97
7,Road Bikes,183,2199.99
7,Road Bikes,170,1299.99
7,Road Bikes,143,1099.99
7,Road Bikes,167,749.99
